starttime	seconds	ctime	dtime	ttime	wait
Fri Nov 29 15:44:12 2013	1385720052	1	3	3	2
Fri Nov 29 15:44:12 2013	1385720052	0	5	5	4
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
Fri Nov 29 15:44:12 2013	1385720052	0	8	8	7
