starttime	seconds	ctime	dtime	ttime	wait
Fri Nov 29 13:59:55 2013	1385713795	6	2	7	1
Fri Nov 29 13:59:55 2013	1385713795	6	3	9	3
Fri Nov 29 13:59:55 2013	1385713795	6	6	11	5
Fri Nov 29 13:59:55 2013	1385713795	6	8	13	7
Fri Nov 29 13:59:55 2013	1385713795	6	10	15	9
Fri Nov 29 13:59:55 2013	1385713795	6	12	18	12
Fri Nov 29 13:59:55 2013	1385713795	6	15	21	15
Fri Nov 29 13:59:55 2013	1385713795	5	18	23	18
Fri Nov 29 13:59:55 2013	1385713795	5	20	25	19
Fri Nov 29 13:59:55 2013	1385713795	5	21	27	21
Fri Nov 29 13:59:55 2013	1385713795	5	23	29	23
Fri Nov 29 13:59:55 2013	1385713795	5	25	31	25
Fri Nov 29 13:59:55 2013	1385713795	5	27	32	27
Fri Nov 29 13:59:55 2013	1385713795	5	28	33	28
Fri Nov 29 13:59:55 2013	1385713795	5	29	34	29
Fri Nov 29 13:59:55 2013	1385713795	5	30	35	30
Fri Nov 29 13:59:55 2013	1385713795	5	31	36	31
Fri Nov 29 13:59:55 2013	1385713795	5	31	37	31
Fri Nov 29 13:59:55 2013	1385713795	5	32	37	32
Fri Nov 29 13:59:55 2013	1385713795	5	33	38	33
Fri Nov 29 13:59:55 2013	1385713795	5	34	39	34
Fri Nov 29 13:59:55 2013	1385713795	5	35	40	34
Fri Nov 29 13:59:55 2013	1385713795	5	35	40	35
Fri Nov 29 13:59:55 2013	1385713795	5	36	41	36
Fri Nov 29 13:59:55 2013	1385713795	5	37	42	37
Fri Nov 29 13:59:55 2013	1385713795	5	38	43	38
Fri Nov 29 13:59:55 2013	1385713795	5	39	43	38
Fri Nov 29 13:59:55 2013	1385713795	5	39	44	39
Fri Nov 29 13:59:55 2013	1385713795	5	40	45	40
Fri Nov 29 13:59:55 2013	1385713795	5	41	45	41
Fri Nov 29 13:59:55 2013	1385713795	5	42	46	42
Fri Nov 29 13:59:55 2013	1385713795	4	42	47	42
Fri Nov 29 13:59:55 2013	1385713795	4	43	48	43
Fri Nov 29 13:59:55 2013	1385713795	4	44	48	44
Fri Nov 29 13:59:55 2013	1385713795	4	45	50	45
Fri Nov 29 13:59:55 2013	1385713795	4	46	51	46
Fri Nov 29 13:59:55 2013	1385713795	4	47	51	47
Fri Nov 29 13:59:55 2013	1385713795	4	48	52	48
Fri Nov 29 13:59:55 2013	1385713795	4	49	53	48
Fri Nov 29 13:59:55 2013	1385713795	4	49	54	49
Fri Nov 29 13:59:55 2013	1385713795	4	50	54	50
Fri Nov 29 13:59:55 2013	1385713795	4	51	55	51
Fri Nov 29 13:59:55 2013	1385713795	4	52	56	52
Fri Nov 29 13:59:55 2013	1385713795	4	53	57	52
Fri Nov 29 13:59:55 2013	1385713795	4	53	57	53
Fri Nov 29 13:59:55 2013	1385713795	4	54	58	54
Fri Nov 29 13:59:55 2013	1385713795	4	55	59	55
Fri Nov 29 13:59:55 2013	1385713795	4	56	60	56
Fri Nov 29 13:59:55 2013	1385713795	4	57	61	57
Fri Nov 29 13:59:55 2013	1385713795	4	58	61	57
Fri Nov 29 13:59:55 2013	1385713795	4	58	62	58
